BaseCode,BaseName,Description,IsActive,Is1099,IsSubcontractor,FinancialType,SubledgerType,MetricType,CostType,PMType,LaborRevenueType,ExpenseRevenueType,_Ajera_Type
AJ-1,Accounts Receivable,,TRUE,,,Asset,,,,,,,Current Asset
AJ-2,Work In Progress- Labor,,TRUE,,,Asset,,,,,,,Current Asset
AJ-3,Work In Progress - Expenses,,TRUE,,,Asset,,,,,,,Current Asset
AJ-4,Work In Progress - Consultants,,TRUE,,,Asset,,,,,,,Current Asset
AJ-5,Accounts Payable,,TRUE,,,Liability,,,,,,,Current Liability
AJ-7,Client Prepayments,,TRUE,,,Liability,,,,,,,Current Liability
AJ-8,Sales Tax Payable,,TRUE,,,Liability,,,,,,,Current Liability
AJ-32,Bank Account - Checking,,TRUE,,,Asset,,,,,,,Current Asset
AJ-33,Bank Account - PPP,,TRUE,,,Asset,,,,,,,Current Asset
AJ-34,Petty Cash,,TRUE,,,Asset,,,,,,,Current Asset
AJ-35,Employee Receivables,,TRUE,,,Asset,,,,,,,Current Asset
AJ-36,ERTC Receivable,,TRUE,,,Asset,,,,,,,Current Asset
AJ-37,Allowance for Bad Debt,,TRUE,,,Asset,,,,,,,Current Asset
AJ-38,Prepaid Expenses,,TRUE,,,Asset,,,,,,,Current Asset
AJ-39,Short Term Investments,,TRUE,,,Asset,,,,,,,Current Asset
AJ-40,Other Current Assets,,TRUE,,,Asset,,,,,,,Current Asset
AJ-41,Land & Improvements,,TRUE,,,Asset,,,,,,,Non-current Asset
AJ-42,Building & Improvements,,TRUE,,,Asset,,,,,,,Non-current Asset
AJ-43,Vehicles,,TRUE,,,Asset,,,,,,,Non-current Asset
AJ-44,Furniture & Fixtures,,TRUE,,,Asset,,,,,,,Non-current Asset
AJ-45,Office Equipment,,TRUE,,,Asset,,,,,,,Non-current Asset
AJ-46,Technical Equipment,,TRUE,,,Asset,,,,,,,Non-current Asset
AJ-47,Software,,TRUE,,,Asset,,,,,,,Non-current Asset
AJ-48,Leasehold Improvements,,TRUE,,,Asset,,,,,,,Non-current Asset
