ECCode,ECName,ShowInES,IsUnit,UnitTypename,ECTypename,ExpMarkupTypename,Markup,UnitRate,BillStatusname,DirectBaseCode,DirectBasename,OHBaseCode,OHBasename,BilledDirectBaseCode,BilledDirectBasename,BilledMarkupBaseCode,BilledMarkupBasename,UnBilledBaseCode,UnBilledBasename,CurrencyCode,PMCmtRequired,IntCmtRequired,IsNonReim,_IsActive
CIN-EXP-00001,Project Management,FALSE,FALSE,,,,,0.0,,,,,,,,,,,,,,,,FALSE
CIN-EXP-00002,Billable Time,TRUE,FALSE,,,,,0.0,,,,,,,,,,,,,,,,TRUE
CIN-EXP-00003,Meetings,FALSE,FALSE,,,,,0.0,,,,,,,,,,,,,,,,FALSE
CIN-EXP-00004,Marketing,FALSE,FALSE,,,,,0.0,,,,,,,,,,,,,,,,FALSE
CIN-EXP-00005,Vacation,FALSE,FALSE,,,,,0.0,,,,,,,,,,,,,,,,FALSE
CIN-EXP-00006,Holiday,FALSE,FALSE,,,,,0.0,,,,,,,,,,,,,,,,FALSE
CIN-EXP-00007,Sick,FALSE,FALSE,,,,,0.0,,,,,,,,,,,,,,,,FALSE
CIN-EXP-00008,Paid Medical Leave,FALSE,FALSE,,,,,0.0,,,,,,,,,,,,,,,,FALSE
CIN-EXP-00009,Continuing Education,FALSE,FALSE,,,,,0.0,,,,,,,,,,,,,,,,FALSE
CIN-EXP-00010,Administration,FALSE,FALSE,,,,,0.0,,,,,,,,,,,,,,,,FALSE
CIN-EXP-00011,Reproduction,TRUE,FALSE,,,,,0.0,,,,,,,,,,,,,,,,TRUE
CIN-EXP-00012,Plotting,TRUE,TRUE,Plotting,,,,0.0,,,,,,,,,,,,,,,,TRUE
CIN-EXP-00013,Travel,FALSE,FALSE,,,,,0.0,,,,,,,,,,,,,,,,FALSE
CIN-EXP-00014,Mileage,TRUE,TRUE,Mile,,,,0.725,,,,,,,,,,,,,,,,TRUE
CIN-EXP-00015,Telephone,TRUE,FALSE,,,,,0.0,,,,,,,,,,,,,,,,TRUE
CIN-EXP-00016,Postage,TRUE,FALSE,,,,,0.0,,,,,,,,,,,,,,,,TRUE
CIN-EXP-00017,Shipping & Delivery,TRUE,FALSE,,,,,0.0,,,,,,,,,,,,,,,,TRUE
CIN-EXP-00018,Photos,TRUE,FALSE,,,,,0.0,,,,,,,,,,,,,,,,TRUE
