BaseCode,BaseName,Description,IsActive,Is1099,IsSubcontractor,FinancialType,SubledgerType,MetricType,CostType,PMType,LaborRevenueType,ExpenseRevenueType,_QBD_FullName,_QBD_AcctType
Fusion_AE_-_Payroll,Fusion AE - Payroll,,TRUE,,,Asset,,,,,,,Fusion AE - Payroll,Bank
Fusion_AE_-_FVC_Bank,Fusion AE - FVC Bank,,TRUE,,,Asset,,,,,,,Fusion AE - FVC Bank,Bank
"ID_Studio4,_LLC_-_Sweep","ID Studio4, LLC - Sweep",,TRUE,,,Asset,,,,,,,"ID Studio4, LLC - Sweep",Bank
Veritex_Community_Bank_-_MM,Veritex Community Bank - MM,,FALSE,,,Asset,,,,,,,Veritex Community Bank - MM,Bank
Veritex_Community_Bank_Checking,Veritex Community Bank Checking,,FALSE,,,Asset,,,,,,,Veritex Community Bank Checking,Bank
ID_Studio_4_LLC_-_Ghost,ID Studio 4 LLC - Ghost,,FALSE,,,Asset,,,,,,,ID Studio 4 LLC - Ghost,Bank
"ID_Studio_4,_LLC_-_Regions","ID Studio 4, LLC - Regions",,FALSE,,,Asset,,,,,,,"ID Studio 4, LLC - Regions",Bank
David_Scott_Windle,David Scott Windle,,FALSE,,,Asset,,,,,,,David Scott Windle,Bank
"ID_Studio4,_LLC","ID Studio4, LLC",,TRUE,,,Asset,,,,,,,"ID Studio4, LLC",Bank
"ID_Studio4,_LLC_-_Savings","ID Studio4, LLC - Savings",,TRUE,,,Asset,,,,,,,"ID Studio4, LLC - Savings",Bank
Accounts_Receivable,Accounts Receivable,,TRUE,,,Asset,,,,,,,Accounts Receivable,Accounts Receivable
Due_from_Reztark,Due from Reztark,,TRUE,,,Asset,,,,,,,Due from Reztark,Other Current Asset
Due_from_ACI,Due from ACI,,TRUE,,,Asset,,,,,,,Due from ACI,Other Current Asset
Due_from_Affliate_-_WCP_PE_Hold,Due from Affliate - WCP PE Hold,,TRUE,,,Asset,,,,,,,Due from Affliate - WCP PE Hold,Other Current Asset
Due_from_SRA,Due from SRA,,TRUE,,,Asset,,,,,,,Due from SRA,Other Current Asset
Prepaid_Expenses,Prepaid Expenses,,TRUE,,,Asset,,,,,,,Prepaid Expenses,Other Current Asset
Allowance_for_Doubtful_Accounts,Allowance for Doubtful Accounts,,TRUE,,,Asset,,,,,,,Allowance for Doubtful Accounts,Other Current Asset
Loans_to_Sareholders,Loans to Sareholders,,FALSE,,,Asset,,,,,,,Loans to Sareholders,Other Current Asset
Loans_to_Sareholders_Loans_to_SH_-_B_E_Chandler,Loans to SH - B E Chandler,,FALSE,,,Asset,,,,,,,Loans to Sareholders:Loans to SH - B E Chandler,Other Current Asset
Loans_to_Sareholders_Loans_to_SH_-_D_S_Windle,Loans to SH - D S Windle,,FALSE,,,Asset,,,,,,,Loans to Sareholders:Loans to SH - D S Windle,Other Current Asset
Loans_to_Sareholders_Loans_to_SH_-_D_C_Steffen,Loans to SH - D C Steffen,,FALSE,,,Asset,,,,,,,Loans to Sareholders:Loans to SH - D C Steffen,Other Current Asset
Account_for_Credit_Transfer,Account for Credit Transfer,,FALSE,,,Asset,,,,,,,Account for Credit Transfer,Other Current Asset
Inventory_Asset,Inventory Asset,,TRUE,,,Asset,,,,,,,Inventory Asset,Other Current Asset
Undeposited_Funds,Undeposited Funds,,TRUE,,,Asset,,,,,,,Undeposited Funds,Other Current Asset
Furniture_and_Equipment,Furniture and Equipment,,TRUE,,,Asset,,,,,,,Furniture and Equipment,Fixed Asset
Furniture_and_Equipment_Accumulated_Depreciation,Accumulated Depreciation,,TRUE,,,Asset,,,,,,,Furniture and Equipment:Accumulated Depreciation,Fixed Asset
Furniture_and_Equipment_Binding_Machine,Binding Machine,,TRUE,,,Asset,,,,,,,Furniture and Equipment:Binding Machine,Fixed Asset
Furniture_and_Equipment_Binding_Machine_Accumulated_Depreciation,Accumulated Depreciation,,TRUE,,,Asset,,,,,,,Furniture and Equipment:Binding Machine:Accumulated Depreciation,Fixed Asset
Furniture_and_Equipment_Chairs,Chairs,,TRUE,,,Asset,,,,,,,Furniture and Equipment:Chairs,Fixed Asset
Furniture_and_Equipment_Chairs_Accumulated_Depreciation,Accumulated Depreciation,,TRUE,,,Asset,,,,,,,Furniture and Equipment:Chairs:Accumulated Depreciation,Fixed Asset
Furniture_and_Equipment_Computer_Equipment,Computer Equipment,,TRUE,,,Asset,,,,,,,Furniture and Equipment:Computer Equipment,Fixed Asset
Furniture_and_Equipment_Computer_Equipment_Accumulated_Depreciation,Accumulated Depreciation,,TRUE,,,Asset,,,,,,,Furniture and Equipment:Computer Equipment:Accumulated Depreciation,Fixed Asset
Furniture_and_Equipment_Computer_Software,Computer Software,,TRUE,,,Asset,,,,,,,Furniture and Equipment:Computer Software,Fixed Asset
Furniture_and_Equipment_Computer_Software_Accumulated_Depreciation,Accumulated Depreciation,,TRUE,,,Asset,,,,,,,Furniture and Equipment:Computer Software:Accumulated Depreciation,Fixed Asset
Furniture_and_Equipment_Conference_Room_TV,Conference Room TV,,TRUE,,,Asset,,,,,,,Furniture and Equipment:Conference Room TV,Fixed Asset
Furniture_and_Equipment_Conference_Room_TV_Accumulated_Depreciation,Accumulated Depreciation,,TRUE,,,Asset,,,,,,,Furniture and Equipment:Conference Room TV:Accumulated Depreciation,Fixed Asset
Furniture_and_Equipment_Desks,Desks,,TRUE,,,Asset,,,,,,,Furniture and Equipment:Desks,Fixed Asset
Furniture_and_Equipment_Desks_Accumulated_Depreciation,Accumulated Depreciation,,TRUE,,,Asset,,,,,,,Furniture and Equipment:Desks:Accumulated Depreciation,Fixed Asset
