ECCode,ECName,ShowInES,IsUnit,UnitTypename,ECTypename,ExpMarkupTypename,Markup,UnitRate,BillStatusname,DirectBaseCode,DirectBasename,OHBaseCode,OHBasename,BilledDirectBaseCode,BilledDirectBasename,BilledMarkupBaseCode,BilledMarkupBasename,UnBilledBaseCode,UnBilledBasename,CurrencyCode,PMCmtRequired,IntCmtRequired,IsNonReim,_IsActive,_QBD_Type
DAL-EXP-00001,50% Architectural,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00002,Additional Services,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00003,Admin,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00004,Admin 2017,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00005,Admin.,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00006,Architectural Construction Docu,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00007,Architectural Design,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00008,Art Work,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00009,As-Built Drawings,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00010,Bid Process,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00011,Building Survey,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00012,CAD As-Builts,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00013,CADD Specialist,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00014,CEU,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00015,City Comments,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00016,Civil Engineering,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00017,Color Renderings,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00018,Comm Check,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00019,Concept Design,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00020,Construction Administration,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00021,Construction Administration Hr,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00022,Construction Documents,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00023,Construction Services,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00024,Consultant,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00025,Design Development,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00026,Dir. of Design,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00027,Due Diligence,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00028,Due Diligence-IDS4,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00029,E & O Ins.,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00030,EIT Hourly,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00031,EIT MEP Hourly,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00032,EIT Structural Hourly,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00033,Elevations,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00034,Food Service Documentation,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00035,Food Service Documentation:Consultant Food Documentation,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00036,Geotechnical,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00037,Interior Design,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00038,Interior Design Hourly,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00039,Interior Design Hourly 2017,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
DAL-EXP-00040,Irrigation,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,Service
