BaseCode,BaseName,Description,IsActive,Is1099,IsSubcontractor,FinancialType,SubledgerType,MetricType,CostType,PMType,LaborRevenueType,ExpenseRevenueType,_QBO_AccountType,_QBO_SubType
233,401(k) Payable,,TRUE,,,Liability,,,,,,,Other Current Liability,OtherCurrentLiabilities
205,Accounts Payable,Unpaid or unapplied vendor bills or credits,TRUE,,,Liability,,,,,,,Accounts Payable,AccountsPayable
106,Accounts Receivable,Unpaid or unapplied customer invoices and credits,TRUE,,,Asset,,,,,,,Accounts Receivable,AccountsReceivable
QBO-299,Allowance for Bad Debt,Contra A/R Acct for Bad debt,TRUE,,,Asset,,,,,,,Accounts Receivable,AccountsReceivable
247,Accrued Professional Services,Legal and Other Prof Svcs from WCP,TRUE,,,Liability,,,,,,,Other Current Liability,OtherCurrentLiabilities
260,Accrued Revenue,,TRUE,,,Liability,,,,,,,Other Current Liability,DeferredRevenue
240,Accrued Salaries,,TRUE,,,Liability,,,,,,,Other Current Liability,OtherCurrentLiabilities
244,Accrued State Taxes,,TRUE,,,Liability,,,,,,,Other Current Liability,StateLocalIncomeTaxPayable
243,Accrued Wages,,TRUE,,,Liability,,,,,,,Other Current Liability,OtherCurrentLiabilities
189,Accumulated Amortization,,TRUE,,,Asset,,,,,,,Other Asset,OtherLongTermAssets
149,Accumulated Depreciation,"Accumulated depreciation on equipment, buildings and improvements",TRUE,,,Asset,,,,,,,Fixed Asset,OtherFixedAssets
388,Additional Paid In Capital,,TRUE,,,Equity,,,,,,,Equity,OwnersEquity
383.1,Additional Paid in Capital -NSS,,TRUE,,,Equity,,,,,,,Equity,OwnersEquity
380.1,Additonal Paid in Capital - EAR,,TRUE,,,Equity,,,,,,,Equity,OwnersEquity
128,Allowance for Doubtful Accounts,,TRUE,,,Asset,,,,,,,Other Current Asset,AllowanceForBadDebts
221,American Express,,TRUE,,,Liability,,,,,,,Credit Card,CreditCard
224,Chelsea AMEX Green Card,,TRUE,,,Liability,,,,,,,Credit Card,CreditCard
223,Denton AMEX Green Card,,TRUE,,,Liability,,,,,,,Credit Card,CreditCard
222,Eric AMEX Green Card,,TRUE,,,Liability,,,,,,,Credit Card,CreditCard
974,Amortization Expense,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
111,Arch Rollup,Arch Rollup,TRUE,,,Asset,,,,,,,Bank,Checking
105,Bank (zero),,TRUE,,,Asset,,,,,,,Bank,Checking
QBO-182,Billable Expense Income,,TRUE,,,Revenue,,,,,,,Income,SalesOfProductIncome
990,Billable Time,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.10,A0 General,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.11,A010 Principal,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.12,A020 Project Manager,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.13,A030 Project Coordinator,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.14,A040 Intern,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.15,A050 Administration,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.16,A060 Architect/Interior,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.20,A1 Pre-Design,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.21,A110 Principal,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.22,A120 Project Manager,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.23,A130 Project Coordinator,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.24,A140 Intern,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.25,A150 Administration,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.26,A160 Architect/Interior,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.30,A2 Schematic Design,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.31,A210 Principal,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.32,A220 Project Manager,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.33,A230 Project Coordinator,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
990.34,A240 Intern,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
