ECCode,ECName,ShowInES,IsUnit,UnitTypename,ECTypename,ExpMarkupTypename,Markup,UnitRate,BillStatusname,DirectBaseCode,DirectBasename,OHBaseCode,OHBasename,BilledDirectBaseCode,BilledDirectBasename,BilledMarkupBaseCode,BilledMarkupBasename,UnBilledBaseCode,UnBilledBasename,CurrencyCode,PMCmtRequired,IntCmtRequired,IsNonReim,_IsActive,_QBO_Type
MN-EXP-00001,A0 General,TRUE,FALSE,,,,,,,A0 General,,,,A0 General,,,,,,,,,,TRUE,Service
MN-EXP-00002,A010 Principal,TRUE,FALSE,,,,,210,,A010 Principal,,,,A0 General,,,,,,,,,,TRUE,Service
MN-EXP-00003,A020 Project Manager,TRUE,FALSE,,,,,165,,A020 Project Manager,,,,A0 General,,,,,,,,,,TRUE,Service
MN-EXP-00004,A030 Project Coordinator,TRUE,FALSE,,,,,125,,A030 Project Coordinator,,,,A0 General,,,,,,,,,,TRUE,Service
MN-EXP-00005,A040 Intern,TRUE,FALSE,,,,,90,,A040 Intern,,,,A0 General,,,,,,,,,,TRUE,Service
MN-EXP-00006,A050 Administration,TRUE,FALSE,,,,,90,,A050 Administration,,,,A0 General,,,,,,,,,,TRUE,Service
MN-EXP-00007,A060 Architect/Interior,TRUE,FALSE,,,,,165,,A060 Architect/Interior,,,,A0 General,,,,,,,,,,TRUE,Service
MN-EXP-00008,A1 Pre-Design,TRUE,FALSE,,,,,,,A1 Pre-Design,,,,A1 Pre-Design,,,,,,,,,,TRUE,Service
MN-EXP-00009,A110 Principal,TRUE,FALSE,,,,,195,,A110 Principal,,,,A1 Pre-Design,,,,,,,,,,TRUE,Service
MN-EXP-00010,A120 Project Manager,TRUE,FALSE,,,,,185,,A120 Project Manager,,,,A1 Pre-Design,,,,,,,,,,TRUE,Service
MN-EXP-00011,A130 Project Coordinator,TRUE,FALSE,,,,,125,,A130 Project Coordinator,,,,A1 Pre-Design,,,,,,,,,,TRUE,Service
MN-EXP-00012,A140 Intern,TRUE,FALSE,,,,,75,,A140 Intern,,,,A1 Pre-Design,,,,,,,,,,TRUE,Service
MN-EXP-00013,A150 Administration,TRUE,FALSE,,,,,75,,A150 Administration,,,,A1 Pre-Design,,,,,,,,,,TRUE,Service
MN-EXP-00014,A160 Architect/Interior,TRUE,FALSE,,,,,145,,A160 Architect/Interior,,,,A1 Pre-Design,,,,,,,,,,TRUE,Service
MN-EXP-00015,Site Survey,TRUE,FALSE,,,,,185,,,,,,Reimbursed Expenses - Income,,,,,,,,,,TRUE,Service
MN-EXP-00016,A2 Schematic Design,TRUE,FALSE,,,,,,,A2 Schematic Design,,,,A2 Schematic Design,,,,,,,,,,TRUE,Service
MN-EXP-00017,A210 Principal,TRUE,FALSE,,,,,195,,A210 Principal,,,,A2 Schematic Design,,,,,,,,,,TRUE,Service
MN-EXP-00018,A220 Project Manager,TRUE,FALSE,,,,,165,,A220 Project Manager,,,,A2 Schematic Design,,,,,,,,,,TRUE,Service
MN-EXP-00019,A230 Project Coordinator,TRUE,FALSE,,,,,125,,A230 Project Coordinator,,,,A2 Schematic Design,,,,,,,,,,TRUE,Service
MN-EXP-00020,A240 Intern,TRUE,FALSE,,,,,75,,A240 Intern,,,,A2 Schematic Design,,,,,,,,,,TRUE,Service
MN-EXP-00021,A260 Architect/Interior,TRUE,FALSE,,,,,145,,A260 Architect/Interior,,,,A2 Schematic Design,,,,,,,,,,TRUE,Service
MN-EXP-00022,A3 Design Development,TRUE,FALSE,,,,,,,A3 Design Development,,,,A3 Design Development,,,,,,,,,,TRUE,Service
MN-EXP-00023,A310 Principal,TRUE,FALSE,,,,,195,,A310 Principal,,,,A3 Design Development,,,,,,,,,,TRUE,Service
