BaseCode,BaseName,Description,IsActive,Is1099,IsSubcontractor,FinancialType,SubledgerType,MetricType,CostType,PMType,LaborRevenueType,ExpenseRevenueType,_QBD_FullName,_QBD_AcctType
PNC_Checking_ORL,PNC Checking ORL,,TRUE,,,Asset,,,,,,,PNC Checking ORL,Bank
Consulting,Consulting,,TRUE,,,Asset,,,,,,,Consulting,Bank
First_Horizon,First Horizon,,TRUE,,,Asset,,,,,,,First Horizon,Bank
Misc,Misc,,TRUE,,,Asset,,,,,,,Misc,Bank
Payroll,Payroll,,FALSE,,,Asset,,,,,,,Payroll,Bank
Payroll_II,Payroll II,,TRUE,,,Asset,,,,,,,Payroll II,Bank
Regent/Langford-Consultant,Regent/Langford-Consultant,,FALSE,,,Asset,,,,,,,Regent/Langford-Consultant,Bank
Accounts_Receivable,Accounts Receivable,,TRUE,,,Asset,,,,,,,Accounts Receivable,Accounts Receivable
Due_to_Fusion_AE_-_MSP_Office,Due to Fusion AE - MSP Office,,TRUE,,,Asset,,,,,,,Due to Fusion AE - MSP Office,Other Current Asset
Inventory_Asset,Inventory Asset,,TRUE,,,Asset,,,,,,,Inventory Asset,Other Current Asset
Prepaid,Prepaid,,TRUE,,,Asset,,,,,,,Prepaid,Other Current Asset
Undeposited_Funds,Undeposited Funds,,TRUE,,,Asset,,,,,,,Undeposited Funds,Other Current Asset
Computer/Website,Computer/Website,,TRUE,,,Asset,,,,,,,Computer/Website,Fixed Asset
Equipment,Equipment,,TRUE,,,Asset,,,,,,,Equipment,Fixed Asset
Furniture_&_Fixtures,Furniture & Fixtures,,TRUE,,,Asset,,,,,,,Furniture & Fixtures,Fixed Asset
Improvements,Improvements,,TRUE,,,Asset,,,,,,,Improvements,Fixed Asset
Software,Software,,TRUE,,,Asset,,,,,,,Software,Fixed Asset
Accumulated_Depreciation,Accumulated Depreciation,,TRUE,,,Asset,,,,,,,Accumulated Depreciation,Fixed Asset
Due_to_Fusion_AE_-_DAL,Due to Fusion AE - DAL,,TRUE,,,Asset,,,,,,,Due to Fusion AE - DAL,Other Asset
Due_from_Shareholder,Due from Shareholder,,TRUE,,,Asset,,,,,,,Due from Shareholder,Other Asset
Security_Deposit,Security Deposit,,TRUE,,,Asset,,,,,,,Security Deposit,Other Asset
Accounts_Payable,Accounts Payable,,TRUE,,,Liability,,,,,,,Accounts Payable,Accounts Payable
Fusion_AE_VISA,Fusion AE VISA,,TRUE,,,Liability,,,,,,,Fusion AE VISA,Credit Card
Fusion_AE_AMEX,Fusion AE AMEX,,TRUE,,,Liability,,,,,,,Fusion AE AMEX,Credit Card
Accrued_Management_Fees,Accrued Management Fees,,TRUE,,,Liability,,,,,,,Accrued Management Fees,Other Current Liability
Accrued_Revenue,Accrued Revenue,,TRUE,,,Liability,,,,,,,Accrued Revenue,Other Current Liability
Unearned_Revenue,Unearned Revenue,,TRUE,,,Liability,,,,,,,Unearned Revenue,Other Current Liability
Company_Liability,Company Liability,,FALSE,,,Liability,,,,,,,Company Liability,Other Current Liability
Credit,Credit,,TRUE,,,Liability,,,,,,,Credit,Other Current Liability
Joanne_short_term,Joanne short term,,TRUE,,,Liability,,,,,,,Joanne short term,Other Current Liability
Line_of_Credit_Suntrust,Line of Credit Suntrust,,TRUE,,,Liability,,,,,,,Line of Credit Suntrust,Other Current Liability
Note_Payable,Note Payable,,TRUE,,,Liability,,,,,,,Note Payable,Other Current Liability
Payroll_Liabilities,Payroll Liabilities,,TRUE,,,Liability,,,,,,,Payroll Liabilities,Other Current Liability
PPP_Loan,PPP Loan,,TRUE,,,Liability,,,,,,,PPP Loan,Other Current Liability
Shareholder_Loan,Shareholder Loan,,TRUE,,,Liability,,,,,,,Shareholder Loan,Other Current Liability
Suntrust_Credit_Card,Suntrust Credit Card,,TRUE,,,Liability,,,,,,,Suntrust Credit Card,Other Current Liability
Preferred_Equity_Distributions,Preferred Equity Distributions,,TRUE,,,Equity,,,,,,,Preferred Equity Distributions,Equity
Capital_Stock,Capital Stock,,TRUE,,,Equity,,,,,,,Capital Stock,Equity
Opening_Bal_Equity,Opening Bal Equity,,FALSE,,,Equity,,,,,,,Opening Bal Equity,Equity
Retained_Earnings,Retained Earnings,,TRUE,,,Equity,,,,,,,Retained Earnings,Equity
Shareholder_Distributions,Shareholder Distributions,,TRUE,,,Equity,,,,,,,Shareholder Distributions,Equity
Project_Revenue-Accrued,Project Revenue-Accrued,,TRUE,,,Revenue,,,,,,,Project Revenue-Accrued,Income
Miscellaneous_-Fusion_AE_Texas,Miscellaneous -Fusion AE Texas,,TRUE,,,Revenue,,,,,,,Miscellaneous -Fusion AE Texas,Income
Design_Income,Design Income,,TRUE,,,Revenue,,,,,,,Design Income,Income
Project_Revenue,Project Revenue,,TRUE,,,Revenue,,,,,,,Project Revenue,Income
Reimbursed_Expenses_-_Income,Reimbursed Expenses - Income,,TRUE,,,Revenue,,,,,,,Reimbursed Expenses - Income,Income
Vendor_Refunds,Vendor Refunds,,TRUE,,,Revenue,,,,,,,Vendor Refunds,Income
Continuing_Education,Continuing Education,,TRUE,,,Expense,,,,,,,Continuing Education,Cost of Goods Sold
Cost_of_Goods_Sold,Cost of Goods Sold,,TRUE,,,Expense,,,,,,,Cost of Goods Sold,Cost of Goods Sold
Project_Related_Costs,Project Related Costs,,TRUE,,,Expense,,,,,,,Project Related Costs,Cost of Goods Sold
Project_Related_Costs_Outside_Consultants,Outside Consultants,,TRUE,,,Expense,,,,,,,Project Related Costs:Outside Consultants,Cost of Goods Sold
Project_Related_Costs_Reimbursable_Expenses,Reimbursable Expenses,,TRUE,,,Expense,,,,,,,Project Related Costs:Reimbursable Expenses,Cost of Goods Sold
Employee_Appreciation,Employee Appreciation,,TRUE,,,Expense,,,,,,,Employee Appreciation,Expense
Reconciliation_Discrepancies,Reconciliation Discrepancies,,TRUE,,,Expense,,,,,,,Reconciliation Discrepancies,Expense
Advertising_Expense,Advertising Expense,,TRUE,,,Expense,,,,,,,Advertising Expense,Expense
Ask_My_Accountant,Ask My Accountant,,TRUE,,,Expense,,,,,,,Ask My Accountant,Expense
Bank_Service_Charges,Bank Service Charges,,TRUE,,,Expense,,,,,,,Bank Service Charges,Expense
Business_License_&_Fees,Business License & Fees,,TRUE,,,Expense,,,,,,,Business License & Fees,Expense
Car_Rentals,Car Rentals,,TRUE,,,Expense,,,,,,,Car Rentals,Expense
Car/Truck_Expense,Car/Truck Expense,,TRUE,,,Expense,,,,,,,Car/Truck Expense,Expense
Car/Truck_Expense_Auto_Repairs_&_Maintenan,Auto Repairs & Maintenan,,TRUE,,,Expense,,,,,,,Car/Truck Expense:Auto Repairs & Maintenan,Expense
Car/Truck_Expense_Gas,Gas,,TRUE,,,Expense,,,,,,,Car/Truck Expense:Gas,Expense
Car/Truck_Expense_Registration_&_License,Registration & License,,TRUE,,,Expense,,,,,,,Car/Truck Expense:Registration & License,Expense
Cleaning/Janitorial,Cleaning/Janitorial,,TRUE,,,Expense,,,,,,,Cleaning/Janitorial,Expense
Client_Relations,Client Relations,,TRUE,,,Expense,,,,,,,Client Relations,Expense
