FirmCode,FirmName,IsActive,IsConsultant,ConsultantType,Is1099,Website,VendorType,Note,NetDays,EIN,PayToAddress_Phone,PayToAddress_Street1,PayToAddress_Street2,PayToAddress_Street3,PayToAddress_Street4,PayToAddress_City,PayToAddress_State,PayToAddress_Zip,PayToAddress_Country,MainContact_Prefix,MainContact_Suffix,MainContact_Title,MainContact_FirstName,MainContact_LastName,MainContact_WorkPhone,MainContact_CellPhone,MainContact_WorkEmail,MainContact_HomeEmail,EnableEFT,CompanyID,CompanyName,ABA/Routing,Account#,Savings,EFType(SEC),_AltPhone,_MainEmail
ORL-VND-00001,1055.00,TRUE,,,,,,,,,,"100 North Tampa Street, Suite 3700",,,,Tampa,FL,33602,,,,,,,,,,,,,,,,,,,
ORL-VND-00002,2020.06 Legacy Park GPK,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00003,310 Park South,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00004,8000 W Sunset,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00005,A/E Concepts,TRUE,,,,,,,,,,121 S. Orange Aveune,Suite 1410,,,Orlando,FL,32801,,,,,,,,,,,,,,,,,,,
ORL-VND-00006,Aboveall AC,TRUE,,,,,,,,,,Air Conditioning and Heating,P O Box 876,,,Mt. Dora,FL,32756,,,,,,,,,,,,,,,,,,,
ORL-VND-00007,Ace Expediters,TRUE,,,,,,,,,,"2251 Lynx Ln, Suite 7",,,,Orlando,FL,32804,,,,,,,,,,,,,,,,,,,
ORL-VND-00008,Acme Stamp & Sign Co.,TRUE,,,,,,,,,407-898-5550,955 N. Pennsylvania Avenue,,,,Winter Park,FL,32789,,,,,,,,,,,,,,,,,,,
ORL-VND-00009,ADP,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00010,ADT,TRUE,,,,,,,,,,PO Box 371878,,,,Pittsburgh,PA,15250-7878,,,,,,,,,,,,,,,,,,,
ORL-VND-00011,AE,TRUE,,,,,,,,,,2251 Lynx Lane Suite 7,,,,Orlando,FL,32804,,,,,,,,,,,,,,,,,,,
ORL-VND-00012,AE Concepts,TRUE,,,,,,,,,,121 S. Orange Avenue,Suite 1410,,,Orlando,FL,32801,,,,,,,,,,,,,,,,,,,
ORL-VND-00013,AEI Affiliated Engineers,TRUE,,,,,,,,,608-441-2680,PO Box 5620,,,,Madison,WI,53705,,,,,,,,,,,,,,,,,,,
ORL-VND-00014,Aerotek,TRUE,,,,,,,,,,P. O. Box 198531,,,,Atlanta,GA,30384-8531,,,,,,,,,,,,,,,,,,,
ORL-VND-00015,Affiliated Engineers,TRUE,,,,,,,,,608-441-2680,P O Box 5620,,,,Madison,WI,53705,,,,,,,,,,,,,,,,,,,
ORL-VND-00016,Affordable Lock & Security,TRUE,,,,,,,,,,PO Box 31261,,,,Tampa,FL,33631-3261,,,,,,,,,,,,,,,,,,,
ORL-VND-00017,Air Kool,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00018,"Air Plus Heating & Air, Inc.",TRUE,,,,,,,,,,P O Box 783397,,,,Winter Garden,FL,34778-3397,,,,,,,,,,,,,,,,,,,
ORL-VND-00019,Al Cooper,TRUE,,,,,,,,,,264 Aenes Ave,,,,Longwood,FL,32750,,,,,,,,,,,,,,,,,,,
ORL-VND-00020,Albertsons,TRUE,,,,,,,,,,P O Box 20,,,,Boise,ID,83726,,,,,,,,,,,,,,,,,,,
ORL-VND-00021,Alfonso Gaviria,TRUE,,,,,,,,,,1041 Huntington Court,,,,Longwood,FL,32750,,,,,,,,,,,,,,,,,,,
ORL-VND-00022,All Service Electric,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00023,"Amber Jade F. Johnson, P.A.",TRUE,,,,,,,,,,471 North Maitland Avenue,,,,Maitland,FL,32751,,,,,,,,,,,,,,,,,,,
ORL-VND-00024,American Express,TRUE,,,,,,,,,,PO Box 650448,,,,Dallas,TX,75265-0448931,,,,,,,,,,,,,,,,,,,
ORL-VND-00025,American Meetings,TRUE,,,,,,,,,,111 SW 6th Street,,,,Ft. Lauderdale,FL,33301,,,,,,,,,,,,,,,,,,,
ORL-VND-00026,Amex,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00027,"Amore Engineering, Inc.",TRUE,,,,,,,,,407-291-6940,2295 Hiawassee Road,Suite 415,,,Orlando,FL,32835,,,,,,,,,,,,,,,,,,,
ORL-VND-00028,Anna Maria Boehm,TRUE,,,,,,,,,,17100 Woodcrest Way,,,,Clermont,FL,34714,,,,,,,,,,,,,,,,,,,
ORL-VND-00029,Anthony Strong,TRUE,,,,,,,,,,3250 Oakley Place,,,,Union City,GA,30291,,,,,,,,,,,,,,,,,,,
ORL-VND-00030,ARC,TRUE,,,,,,,,,,PO Box 953466,,,,St. Louis,MO,63195-3466,,,,,,,,,,,,,,,,,,,
ORL-VND-00031,ARC Document Solutions,TRUE,,,,,,,,,813-606-4785,P O Box 953466,,,,St. Louis,MO,63195-3466,,,,,,,,,,,,,,,,,,,
ORL-VND-00032,Archipro Staff Agency,TRUE,,,,,,,,,,5313 Whitten Drive,,,,Naples,FL,34104,,,,,,,,,,,,,,,,,,,
ORL-VND-00033,Armstrong,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00034,Art & History Museums,TRUE,,,,,,,,,,231 W. Packwood Avenue,,,,Maitland,FL,32751,,,,,,,,,,,,,,,,,,,
ORL-VND-00035,Artists Vision. LLC,TRUE,,,,,,,,,,1106 South Scott Avenue,,,,Sanford,FL,32771,,,,,,,,,,,,,,,,,,,
ORL-VND-00036,assets,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00037,Associated Piping Services,TRUE,,,,,,,,,407-859-4756,1023 29th Street,,,,Orlando,FL,32805,,,,,,,,,,,,,,,,,,,
ORL-VND-00038,AT&T,TRUE,,,,,,,,,,PO Box 536216,,,,Atlanta,GA,30353-6216,,,,,,,,,,,,,,,,,,,
ORL-VND-00039,ATG,TRUE,,,,,,,,,,,,,,North Little Rock,AR,72117,,,,,,,,,,,,,,,,,,,
ORL-VND-00040,Audio Visual Innovations,TRUE,,,,,,,,,,995  W. Kennedy Blvd.,Suite B-35,,,Orlando,FL,32810,,,,,,,,,,,,,,,,,,,
ORL-VND-00041,Authorized Printer Repair of Orlando,TRUE,,,,,,,,,,6968 Aloma Avenue,,,,Winter Park,FL,32792,,,,,,,,,,,,,,,,,,,
ORL-VND-00042,Avanti Cafe,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00043,"Avcon, Inc. Engineers & Planners",TRUE,,,,,,,,,407-599-1122,"5555 E. Michigan Street, Suite 200",,,,Orlando,FL,32822-2779,,,,,,,,,,,,,,,,,,,www.avconinc.com
ORL-VND-00044,Avenir Publishing Inc,TRUE,,,,,,,,,,P O Box 253,,,,Methuen,MA,01844,,,,,,,,,,,,,,,,,,,
ORL-VND-00045,Axa Equitable,TRUE,,,,,,,,,,Box 371459,,,,Pittsburgh,PA,15250-7459,,,,,,,,,,,,,,,,,,,
ORL-VND-00046,B H INC,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00047,B H LLC,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00048,B.A.S.E. Camp Children's Cancer Fdn,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00049,Baker Donelson etal,TRUE,,,,,,,,,,P O Box 1549,,,,Orlando,FL,32802,,,,,,,,,,,,,,,,,,,
ORL-VND-00050,Balboa Capital Corporation,TRUE,,,,,,,,,,P O Box 844803,,,,Los Angeles,CA,90084-4803,,,,,,,,,,,,,,,,,,,
ORL-VND-00051,Banistka Rodriguez,TRUE,,,,,,,,,,586 Whittingham Place,,,,Lake Mary,FL,32746,,,,,,,,,,,,,,,,,,,
ORL-VND-00052,Bank of America,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL-VND-00053,Bankcard Center,TRUE,,,,,,,,,,P O Box 385,,,,Memphis,TN,38101-0385,,,,,,,,,,,,,,,,,,,
ORL-VND-00054,"Basso Enterprises, Inc.",TRUE,,,,,,,,,,Acme Glass,20 Nashville Avenue,,,Orlando,FL,32789,,,,,,,,,,,,,,,,,,,
ORL-VND-00055,BBM Structural Engineers,TRUE,,,,,,,,,,1912 Boothe Circle Suite 100,,,,Longwood,FL,32750,,,,,,,,,,,,,,,,,,,
ORL-VND-00056,BCBS of Florida,TRUE,,,,,,,,,,PO Box 660299,,,,Dallas,TX,75266-0299,,,,,,,,,,,,,,,,,,,
ORL-VND-00057,BEC Structures LLC,TRUE,,,,,,,,,,891 Royalwood Lane,,,,Oviedo,FL,32765,,,,,,,,,,,,,,,,,,,
ORL-VND-00058,Belzer Plumbing,TRUE,,,,,,,,,,607 N. John Street,,,,Orlando,FL,32808-7529,,,,,,,,,,,,,,,,,,,
